City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Indianapolis,39.7684,-86.158,2.77,46,7,4.83,2021-11-19 03:00:00
Indianapolis,39.7684,-86.158,2.71,51,100,3.22,2021-11-20 03:00:00
Indianapolis,39.7684,-86.158,7.03,64,100,2.83,2021-11-21 03:00:00
Indianapolis,39.7684,-86.158,6.51,84,99,3.02,2021-11-22 03:00:00
San Francisco,37.7749,-122.4194,16.55,53,60,2.19,2021-11-18 03:00:00
San Francisco,37.7749,-122.4194,14.27,69,99,1.38,2021-11-19 03:00:00
San Francisco,37.7749,-122.4194,13.21,84,15,2.22,2021-11-20 03:00:00
San Francisco,37.7749,-122.4194,14.47,58,0,2.2,2021-11-21 03:00:00
San Francisco,37.7749,-122.4194,14.47,53,0,3.11,2021-11-22 03:00:00
Seattle,47.6062,-122.3321,6.19,68,100,1.53,2021-11-18 03:00:00
Seattle,47.6062,-122.3321,4.75,96,100,2.15,2021-11-19 03:00:00
Seattle,47.6062,-122.3321,5.18,87,39,0.79,2021-11-20 03:00:00
Seattle,47.6062,-122.3321,5.75,86,100,1.05,2021-11-21 03:00:00
Seattle,47.6062,-122.3321,5.2,83,100,1.08,2021-11-22 03:00:00
Denver,39.7392,-104.9847,2.3,39,8,3.18,2021-11-18 03:00:00
Denver,39.7392,-104.9847,6.66,8,45,1.66,2021-11-19 03:00:00
Denver,39.7392,-104.9847,10.65,25,98,1.9,2021-11-20 03:00:00
Denver,39.7392,-104.9847,7.12,57,100,1.49,2021-11-21 03:00:00
Denver,39.7392,-104.9847,7.92,26,2,1.96,2021-11-22 03:00:00
Washington,47.5001,-120.5015,0.9,63,97,0.46,2021-11-18 03:00:00
Washington,47.5001,-120.5015,0.1,89,100,0.65,2021-11-19 03:00:00
Washington,47.5001,-120.5015,-0.51,93,45,1.08,2021-11-20 03:00:00
Washington,47.5001,-120.5015,0.47,92,100,0.92,2021-11-21 03:00:00
Washington,47.5001,-120.5015,0.05,92,100,0.87,2021-11-22 03:00:00
Boston,42.3584,-71.0598,8.79,72,100,4.12,2021-11-18 03:00:00
Boston,42.3584,-71.0598,14.82,77,98,4.56,2021-11-19 03:00:00
Boston,42.3584,-71.0598,3.22,55,6,4.71,2021-11-20 03:00:00
Boston,42.3584,-71.0598,4.16,56,99,2.79,2021-11-21 03:00:00
Boston,42.3584,-71.0598,11.15,84,100,4.75,2021-11-22 03:00:00
El Paso,31.8001,-106.2005,18.9,16,93,2.95,2021-11-18 03:00:00
El Paso,31.8001,-106.2005,9.51,26,0,4.09,2021-11-19 03:00:00
El Paso,31.8001,-106.2005,13.9,36,47,0.99,2021-11-20 03:00:00
El Paso,31.8001,-106.2005,16.78,22,93,2.65,2021-11-21 03:00:00
El Paso,31.8001,-106.2005,12.97,38,100,5.1,2021-11-22 03:00:00
Nashville,36.1659,-86.7844,18.06,70,59,4.13,2021-11-18 03:00:00
Nashville,36.1659,-86.7844,5.32,48,0,1.72,2021-11-19 03:00:00
Nashville,36.1659,-86.7844,5.43,52,99,1.93,2021-11-20 03:00:00
Nashville,36.1659,-86.7844,10.52,50,98,4.44,2021-11-21 03:00:00
Nashville,36.1659,-86.7844,14.48,97,100,3.9,2021-11-22 03:00:00
Oklahoma City,35.4676,-97.5164,11.11,27,76,8.06,2021-11-18 03:00:00
Oklahoma City,35.4676,-97.5164,5.77,29,3,3.16,2021-11-19 03:00:00
Oklahoma City,35.4676,-97.5164,9.4,35,100,7.52,2021-11-20 03:00:00
Oklahoma City,35.4676,-97.5164,17.8,67,90,8.77,2021-11-21 03:00:00
Oklahoma City,35.4676,-97.5164,8.26,52,0,3.89,2021-11-22 03:00:00
Las Vegas,36.175,-115.1372,18.44,18,12,1.25,2021-11-18 03:00:00
Las Vegas,36.175,-115.1372,14.41,18,100,1.07,2021-11-19 03:00:00
Las Vegas,36.175,-115.1372,14.8,23,79,1.08,2021-11-20 03:00:00
Las Vegas,36.175,-115.1372,15.7,27,68,3.87,2021-11-21 03:00:00
Las Vegas,36.175,-115.1372,13.76,21,0,3.09,2021-11-22 03:00:00
Detroit,42.3314,-83.0458,13.92,86,100,5.03,2021-11-18 03:00:00
Detroit,42.3314,-83.0458,1.44,68,84,4.94,2021-11-19 03:00:00
Detroit,42.3314,-83.0458,3.07,55,100,2.18,2021-11-20 03:00:00
Detroit,42.3314,-83.0458,4.92,64,100,2.71,2021-11-21 03:00:00
Detroit,42.3314,-83.0458,6.33,74,98,5.2,2021-11-22 03:00:00
Portland,45.5234,-122.6762,9.5,51,75,3.92,2021-11-18 00:00:00
Portland,45.5234,-122.6762,6.41,81,100,1.22,2021-11-19 00:00:00
Portland,45.5234,-122.6762,7.99,88,100,1.27,2021-11-20 00:00:00
Portland,45.5234,-122.6762,9.07,71,89,1.0,2021-11-21 00:00:00
Portland,45.5234,-122.6762,8.11,66,100,0.97,2021-11-22 00:00:00
Memphis,35.1495,-90.049,21.16,62,58,6.73,2021-11-18 03:00:00
Memphis,35.1495,-90.049,6.78,34,0,2.71,2021-11-19 03:00:00
Memphis,35.1495,-90.049,7.1,43,71,2.98,2021-11-20 03:00:00
Memphis,35.1495,-90.049,12.77,53,100,3.83,2021-11-21 03:00:00
Memphis,35.1495,-90.049,14.97,95,100,4.42,2021-11-22 03:00:00
Louisville,38.2542,-85.7594,18.53,71,93,5.22,2021-11-18 03:00:00
Louisville,38.2542,-85.7594,4.02,46,0,2.87,2021-11-19 03:00:00
Louisville,38.2542,-85.7594,4.62,50,100,2.4,2021-11-20 03:00:00
Louisville,38.2542,-85.7594,10.27,62,100,3.6,2021-11-21 03:00:00
Louisville,38.2542,-85.7594,10.52,92,100,4.33,2021-11-22 03:00:00
Milwaukee,43.0006,-87.9668,7.31,42,77,5.92,2021-11-18 03:00:00
Milwaukee,43.0006,-87.9668,-1.02,56,11,6.16,2021-11-19 03:00:00
Milwaukee,43.0006,-87.9668,1.3,51,100,5.26,2021-11-20 03:00:00
Milwaukee,43.0006,-87.9668,6.19,60,100,2.54,2021-11-21 03:00:00
Milwaukee,43.0006,-87.9668,0.34,44,68,8.38,2021-11-22 03:00:00
Baltimore,39.2904,-76.6122,12.93,85,29,3.15,2021-11-18 03:00:00
Baltimore,39.2904,-76.6122,9.56,80,100,6.5,2021-11-19 03:00:00
Baltimore,39.2904,-76.6122,4.57,57,86,3.54,2021-11-20 03:00:00
Baltimore,39.2904,-76.6122,6.12,62,100,2.62,2021-11-21 03:00:00
Baltimore,39.2904,-76.6122,11.49,76,100,4.73,2021-11-22 03:00:00
Albuquerque,35.0845,-106.6511,13.68,23,1,3.37,2021-11-18 03:00:00
Albuquerque,35.0845,-106.6511,6.56,39,22,1.39,2021-11-19 03:00:00
Albuquerque,35.0845,-106.6511,9.6,38,25,1.77,2021-11-20 03:00:00
Albuquerque,35.0845,-106.6511,11.82,26,68,4.18,2021-11-21 03:00:00
Albuquerque,35.0845,-106.6511,7.36,35,0,0.9,2021-11-22 03:00:00
Tucson,32.2217,-110.9265,21.97,22,93,1.48,2021-11-18 00:00:00
Tucson,32.2217,-110.9265,22.63,18,4,5.68,2021-11-19 00:00:00
Tucson,32.2217,-110.9265,23.79,16,97,2.28,2021-11-20 00:00:00
Tucson,32.2217,-110.9265,22.82,16,95,3.22,2021-11-21 00:00:00
Tucson,32.2217,-110.9265,22.84,17,100,3.0,2021-11-22 00:00:00
Mesa,33.4223,-111.8226,22.91,19,12,0.03,2021-11-18 03:00:00
Mesa,33.4223,-111.8226,21.73,19,97,3.36,2021-11-19 03:00:00
Mesa,33.4223,-111.8226,21.82,19,100,1.29,2021-11-20 03:00:00
Mesa,33.4223,-111.8226,20.99,19,100,1.38,2021-11-21 03:00:00
Mesa,33.4223,-111.8226,20.55,15,99,4.68,2021-11-22 03:00:00
Fresno,36.6666,-119.8343,17.02,53,72,1.44,2021-11-18 03:00:00
Fresno,36.6666,-119.8343,17.37,43,100,2.56,2021-11-19 03:00:00
Fresno,36.6666,-119.8343,16.0,53,92,4.29,2021-11-20 03:00:00
Fresno,36.6666,-119.8343,14.33,54,0,2.97,2021-11-21 03:00:00
Fresno,36.6666,-119.8343,15.47,47,0,1.9,2021-11-22 03:00:00
